,id,name,short_name,primary_color,secondary_color,country_alpha
1439,4901,Cracovia,Cracovia,#cc0000,#ffffff,POL
1440,7915,Motor Lublin,Motor,#ffff00,#113885,POL
1441,5065,MKS Korona Kielce,Korona,#ff0000,#ffff00,POL
1442,7691,Jagiellonia Białystok,Jagiellonia,#ffff00,#ff0000,POL
1443,3115,Widzew Łódź,Widzew Łódź,#ff0000,#ffffff,POL
1444,3117,Pogoń Szczecin,Pogoń,#cc0000,#000066,POL
1445,53,Swindon Town,Swindon,#cc0000,#ffffff,ENG
1447,18,Grimsby Town,Grimsby,#000000,#000000,ENG
1448,19,Crewe Alexandra,Crewe,#ba0b12,#222226,ENG
1449,79,Newport County,Newport,#ffc709,#000000,WAL
1450,20,Gillingham,,#0033ff,#0033ff,ENG
1451,97,Barrow,Barrow,#ffffff,#000081,ENG
1452,56,Notts County,Notts County,#84754e,#222226,ENG
1453,23959,Fleetwood Town,Fleetwood,#cc0000,#cc0000,ENG
1454,78,Carlisle United,Carlisle,#0000ff,#ffffff,ENG
