match_id,team_id,half,stat_name,value
13472704,1955,1,total_shots,10
13472704,1981,1,total_shots,3
13472704,1955,1,shots_on_target,5
13472704,1981,1,shots_on_target,1
13472704,1955,1,hit_woodwork,1
13472704,1981,1,hit_woodwork,0
13472704,1955,1,shots_off_target,1
13472704,1981,1,shots_off_target,2
13472704,1955,1,blocked_shots,4
13472704,1981,1,blocked_shots,0
13472704,1955,1,shots_inside_box,5
13472704,1981,1,shots_inside_box,0
13472704,1955,1,shots_outside_box,5
13472704,1981,1,shots_outside_box,3
13472704,1955,1,big_chances_scored,0
13472704,1981,1,big_chances_scored,0
13472704,1955,1,big_chances_missed,1
13472704,1981,1,big_chances_missed,0
13472704,1955,1,through_balls,0
13472704,1981,1,through_balls,1
13472704,1955,1,fouled_in_final_third,4
13472704,1981,1,fouled_in_final_third,0
13472704,1955,1,offsides,2
13472704,1981,1,offsides,0
13472704,1955,1,accurate_passes,266
13472704,1981,1,accurate_passes,106
13472704,1955,1,throw_ins,12
13472704,1981,1,throw_ins,3
13472704,1955,1,final_third_entries,37
13472704,1981,1,final_third_entries,13
13472704,1955,1,long_balls,7/13 (54%)
13472704,1981,1,long_balls,6/16 (38%)
13472704,1955,1,crosses,3/14 (21%)
13472704,1981,1,crosses,2/6 (33%)
13472704,1955,1,duels,65%
13472704,1981,1,duels,35%
13472704,1955,1,dispossessed,4
13472704,1981,1,dispossessed,5
13472704,1955,1,ground_duels,14/24 (58%)
13472704,1981,1,ground_duels,10/24 (42%)
13472704,1955,1,aerial_duels,8/10 (80%)
13472704,1981,1,aerial_duels,2/10 (20%)
13472704,1955,1,dribbles,3/6 (50%)
13472704,1981,1,dribbles,1/3 (33%)
13472704,1955,1,tackles_won,71%
13472704,1981,1,tackles_won,57%
13472704,1955,1,total_tackles,7
13472704,1981,1,total_tackles,7
13472704,1955,1,interceptions,3
13472704,1981,1,interceptions,5
13472704,1955,1,recoveries,21
13472704,1981,1,recoveries,23
13472704,1955,1,clearances,2
13472704,1981,1,clearances,23
13472704,1955,1,total_saves,1
13472704,1981,1,total_saves,5
13472704,1955,1,goal_kicks,2
13472704,1981,1,goal_kicks,3
13472704,1955,2,ball_possession,46%
13472704,1981,2,ball_possession,54%
13472704,1955,2,expected_goals,1.57
13472704,1981,2,expected_goals,1.61
13472704,1955,2,big_chances,2
13472704,1981,2,big_chances,2
13472704,1955,2,total_shots,3
13472704,1981,2,total_shots,11
13472704,1955,2,goalkeeper_saves,2
13472704,1981,2,goalkeeper_saves,0
13472704,1955,2,corner_kicks,0
13472704,1981,2,corner_kicks,2
13472704,1955,2,passes,176
13472704,1981,2,passes,208
13472704,1955,2,tackles,10
13472704,1981,2,tackles,9
13472704,1955,2,free_kicks,5
13472704,1981,2,free_kicks,10
13472704,1955,2,yellow_cards,1
13472704,1981,2,yellow_cards,2
13472704,1955,2,total_shots,3
13472704,1981,2,total_shots,11
13472704,1955,2,shots_on_target,2
13472704,1981,2,shots_on_target,3
13472704,1955,2,hit_woodwork,0
13472704,1981,2,hit_woodwork,0
13472704,1955,2,shots_off_target,1
13472704,1981,2,shots_off_target,3
13472704,1955,2,blocked_shots,0
13472704,1981,2,blocked_shots,5
13472704,1955,2,shots_inside_box,2
13472704,1981,2,shots_inside_box,6
13472704,1955,2,shots_outside_box,1
13472704,1981,2,shots_outside_box,5
13472704,1955,2,big_chances_scored,1
13472704,1981,2,big_chances_scored,1
13472704,1955,2,big_chances_missed,1
13472704,1981,2,big_chances_missed,1
13472704,1955,2,through_balls,0
13472704,1981,2,through_balls,0
13472704,1955,2,fouled_in_final_third,2
13472704,1981,2,fouled_in_final_third,6
13472704,1955,2,offsides,0
13472704,1981,2,offsides,2
13472704,1955,2,accurate_passes,145
13472704,1981,2,accurate_passes,180
13472704,1955,2,throw_ins,6
13472704,1981,2,throw_ins,8
13472704,1955,2,final_third_entries,13
13472704,1981,2,final_third_entries,33
13472704,1955,2,long_balls,8/25 (32%)
13472704,1981,2,long_balls,3/7 (43%)
13472704,1955,2,crosses,2/6 (33%)
13472704,1981,2,crosses,4/7 (57%)
13472704,1955,2,duels,40%
13472704,1981,2,duels,60%
13472704,1955,2,dispossessed,4
